Identifier,ISO 639-3 Code,Language
Achuar,acu,Achuar-Shiwiar
af,afr,Afrikaans
Aguaruna,agr,Aguaruna
Akawaio,ake,Akawaio
am,amh,Amharic
amu,amu,Guerrero Amuzgo
ar,ara,Arabic
arc,arc,"Imperial Aramaic (700-300 BCE), Official Aramaic (700-300 BCE)"
awa,awa,Awadhi
br,bre,Breton
Barasana,bsn,Barasana-Eduria
bg,bul,Bulgarian
cak,cak,"Cakchiquel, Kaqchikel"
cco,cco,Comaltepec Chinantec
ceb,ceb,Cebuano
cs,ces,Czech
ch,cha,Chamorro
Chinantec,chq,Chinantec
chr,chr,Cherokee
Cabecar,cjp,Cabécar
Campa,cni,Asháninka
cop,cop,Coptic
Creole,crp,Creoles and pidgins
da,dan,Danish
de,deu,German
Dinka,dik,Southwestern Dinka
Zarma,dje,Zarma
Aukan,djk,"Businenge Tongo, Eastern Maroon Creole, Nenge"
Lukpa,dop,Lukpa
el,ell,Modern Greek (1453-)
en,eng,English
eo,epo,Esperanto
et,est,Estonian
eu,eus,Basque
Ewe,ewe,Ewe
fi,fin,Finnish
fr,fra,French
Galela,gbi,Galela
Gaelic,gla,"Gaelic, Scottish Gaelic"
gv,glv,Manx
got,got,Gothic
grc,grc,Ancient Greek (to 1453)
Gujarati,guj,Gujarati
ht,hat,"Haitian, Haitian Creole"
he,heb,Hebrew
hil,hil,Hiligaynon
hi,hin,Hindi
hr,hrv,Croatian
hu,hun,Hungarian
hwc,hwc,"Hawai'i Creole English, Hawai'i Pidgin"
hy,hye,Armenian
Indonesian,ind,Indonesian
is,isl,Icelandic
it,ita,Italian
jac,jac,"Jakalteko, Popti'"
Shuar,jiv,Shuar
Japanese,jpn,Japanese
kab,kab,Kabyle
Kannada,kan,Kannada
ka,kat,Georgian
Camsa,kbh,Camsá
kek,kek,Kekchí
ko,kor,Korean
la,lat,Latin
Latvian,lav,Latvian
lt,lit,Lithuanian
Malayalam,mal,Malayalam
mam,mam,Mam
mr,mar,Marathi
mk,mkd,Macedonian
mi,mri,Maori
my,mya,Myanmar
nah,nah,Nahuatl languages
ne,nep,Nepali
nl,nld,"Dutch, Flemish"
no,nor,Norwegian
Ojibwa,ojb,Northwestern Ojibwa
or,ori,Oriya
pa,pan,"Punjabi, Panjabi"
Paite,pck,Paite Chin
pdt,pdt,Plautdietsch
Farsi,pes,Iranian Persian
Malagasy,plt,Plateau Malagasy
pl,pol,Polish
pt,por,Portuguese
pot,pot,Potawatomi
ppk,ppk,Uma
ppl,ppl,"Nicarao, Pipil"
quc,quc,"K'iche', Quiché"
qu,que,Quechua
Quichua,quw,Tena Lowland Quichua
rom,rom,Romany
ro,ron,"Romanian, Moldavian, Moldovan"
ru,rus,Russian
sco,sco,Scots
Tachelhit,shi,Tachelhit
sk,slk,Slovak
Slovene,slv,Slovenian
Shona,sna,Shona
so,som,Somali
es,spa,Spanish
sq,sqi,Albanian
sr,srp,Serbian
sw,swa,Swahili
sv,swe,Swedish
Syriac,syr,Syriac
ta,tam,Tamil
Telugu,tel,Telugu
tl,tgl,Tagalog
th,tha,Thai
Tuareg,tmh,Tamashek
ttq,ttq,Tawallammat Tamajaq
tr,tur,Turkish
twi,twi,Twi
uk,ukr,Ukrainian
ur,urd,Urdu
usp,usp,Uspanteco
vi,vie,Vietnamese
Wolaytta,wal,"Wolaitta, Wolaytta"
wo,wol,Wolof
xh,xho,Xhosa
zh,zho,Chinese
Zulu,zul,Zulu